gene_symbol_official,gene_symbol_fullname,count,idlist,Input Symbol,Official Symbol,Entrez Gene ID,Gene Name
ITGB1,integrin subunit beta 1,0,[],ITGB1,ITGB1,3688,integrin subunit beta 1
CASP9,caspase 9,61,"['39839500', '39823512', '39456869', '38784395', '38662592', '38464839', '38158102', '37650558', '37477437', '37340376', '37219401', '36225174', '35854154', '35806054', '34733114', '34486705', '34457111', '34400214', '33575163', '33441606', '33390769', '32876918', '32592888', '32454932', '32438104', '32043372', '31927655', '31900829', '31815144', '31135951', '30957795', '30856162', '30522094', '30286467', '29771447', '29180187', '28505020', '28079123', '27736938', '26958745', '26602156', '26221596', '25887954', '25557508', '24501201', '23590253', '23557966', '23214195', '21615630', '21118528', '21030664', '20023601', '19052874', '19015023', '18791840', '16989898', '16453149', '15241089', '15167687', '15124023', '11359857']",CASP9,CASP9,842,caspase 9
TXNIP,thioredoxin interacting protein,19,"['39505349', '38286859', '38195466', '37541979', '37154070', '35609679', '35571246', '35136484', '34407684', '34045679', '33885954', '33745232', '33452697', '32892306', '32538180', '32326777', '31173172', '29180214', '24098117']",TXNIP,TXNIP,10628,thioredoxin interacting protein
BTK,bruton tyrosine kinase,27,"['39903516', '39900389', '39741411', '39405126', '38638439', '35587199', '35537415', '34724705', '34706199', '34552589', '33261572', '33168411', '33162995', '33013854', '32340921', '31552054', '30873567', '30559311', '27763263', '26581914', '25704810', '24906236', '24885015', '24465843', '24193737', '21441935', '9218618']",BTK,BTK,695,Bruton tyrosine kinase
NDUFA4,ndufa4 mitochondrial complex associated,3,"['40240625', '38702721', '33994501']",NDUFA4,NDUFA4,4697,NDUFA4 mitochondrial complex associated
CD226,cd226 molecule,6,"['39443080', '36480269', '34712231', '34653731', '33148389', '29220498']",CD226,CD226,10666,CD226 molecule
ADA,adenosine deaminase,52,"['40295284', '40202964', '38954486', '38599251', '38169584', '36943594', '35787248', '35027333', '34867979', '34190597', '32273831', '30850342', '29685478', '29414324', '29133549', '29051060', '28888888', '28199207', '28167210', '27801365', '26386217', '25300765', '24994023', '24405623', '23933282', '23457071', '23453612', '23355216', '22732294', '22017399', '21671975', '21620640', '21273003', '20809996', '20734098', '20713326', '20655914', '19224993', '18847498', '18065872', '17959665', '17529911', '17487471', '15373900', '15063762', '12892448', '12242835', '12091165', '11959672', '11531021', '10959752', '9791294']",ADA,ADA,100,adenosine deaminase
IGLL1,immunoglobulin lambda like polypeptide 1,0,[],IGLL1,IGLL1,3543,immunoglobulin lambda like polypeptide 1
CD80,cd80 molecule,55,"['40524162', '40507879', '40241483', '39628684', '38870636', '37381064', '36809929', '36106559', '35020851', '34412756', '34204220', '33579182', '33406504', '32684215', '32473570', '32386024', '31953452', '31297113', '31250008', '30957834', '30672713', '30179262', '28363639', '28211096', '27862204', '27288425', '27026041', '24945079', '24891762', '23721745', '23228241', '23039892', '22174949', '21438005', '20122166', '19672303', '19332532', '19189863', '18945879', '18073094', '17989345', '17635808', '17328986', '17302891', '16365154', '15767412', '15744129', '15257086', '15063762', '12794123', '11396289', '11266853', '10233733', '10229403', '10075859']",CD80,CD80,941,CD80 molecule
CYP4F22,cytochrome p450 family 4,0,[],CYP4F22,CYP4F22,126410,cytochrome P450 family 4 subfamily F member 22
TP53,tumor protein p53,17,"['40350654', '40318009', '39839500', '38981197', '38773142', '38723525', '38701300', '38452788', '38281996', '37872948', '37824375', '36961831', '34719669', '29537312', '29419339', '28324661', '26491700']",TP53,TP53,7157,tumor protein p53
CCR7,c c motif chemokine receptor 7,38,"['39710434', '38870636', '38850242', '37298316', '36199375', '35020851', '34484417', '34204220', '33785433', '33145636', '31470568', '30601330', '30271399', '28636433', '27019338', '26582821', '25557485', '24353268', '24269609', '24129368', '23738926', '22174949', '20702730', '20588160', '20345976', '19455014', '19445368', '17389912', '17376902', '17302891', '17182676', '17075377', '16717116', '16272355', '14978142', '14676302', '12975468', '12149221']",CCR7,CCR7,1236,C-C motif chemokine receptor 7
PDE2A,phosphodiesterase 2a,0,[],PDE2A,PDE2A,5138,phosphodiesterase 2A
CYBC1,cytochrome b 245 chaperone 1,1,['36450268'],CYBC1,CYBC1,79415,cytochrome b-245 chaperone 1
GALM,galactose mutarotase,0,[],GALM,GALM,130589,galactose mutarotase
IL12A,interleukin 12a,2,"['38128702', '32986779']",IL12A,IL12A,3592,interleukin 12A
ABCA3,atp binding cassette subfamily a member 3,0,[],ABCA3,ABCA3,21,ATP binding cassette subfamily A member 3
MIR146A,microrna 146a,44,"['40088874', '39487520', '38967516', '38247172', '36812225', '35986237', '35679261', '35269481', '35112981', '35026963', '34906298', '34808293', '34749364', '34438395', '34172780', '33352593', '32658933', '32481361', '32415933', '32399391', '31211901', '30867482', '30700845', '30355788', '30337925', '30224945', '30103197', '28662100', '28288804', '28164567', '28090688', '28007485', '26889043', '26538391', '26138422', '26048146', '25308712', '25265569', '24701036', '24680405', '23897118', '23756365', '21562054', '20188071']",MIR146A,MIR146A,406938,microRNA 146a
NDUFA7,electron transport complex i,0,[],NDUFA7,NDUFA7,4701,NADH:ubiquinone oxidoreductase subunit A7
GPR33,receptors g protein coupled,20,"['39697018', '38966639', '38845496', '38061028', '35323151', '35272622', '27893741', '24465168', '24069301', '22964301', '20588160', '20473304', '19850944', '19829100', '18768878', '18598196', '18431464', '17047523', '11284440', '6316941']",GPR33,GPR33,2856,G protein-coupled receptor 33
FA2H,fatty acid 2 hydroxylase,0,[],FA2H,FA2H,79152,fatty acid 2-hydroxylase
PDE7A,phosphodiesterase 7a,2,"['29407965', '28356347']",PDE7A,PDE7A,5150,phosphodiesterase 7A
S100A9,s100 calcium binding protein a9,70,"['40478888', '40325173', '40108736', '40028203', '40021770', '39955951', '39238407', '39122093', '39115722', '38868781', '38755564', '38640713', '38588614', '38245687', '37978525', '37773186', '37671148', '37357259', '37337301', '37298316', '36768433', '36652759', '36439140', '36328195', '36244216', '36123595', '36054235', '35545182', '35185915', '34884728', '34298021', '33863396', '33275138', '33107490', '32989935', '32918665', '32805279', '32715759', '32016447', '31913637', '31666644', '31078118', '30025864', '29679702', '29563178', '29257295', '28459433', '28146645', '28125622', '28120021', '27993995', '27696085', '27082932', '26987739', '25973048', '25860480', '25242054', '23133376', '23127860', '22768176', '22735776', '21765347', '21440052', '19909399', '19401387', '19395960', '19197227', '18411294', '18403730', '17767165']",S100A9,S100A9,6280,S100 calcium binding protein A9
TNFRSF10B,tnf receptor superfamily member 10b,0,[],TNFRSF10B,TNFRSF10B,8795,TNF receptor superfamily member 10b
PCSK9,proprotein convertase subtilisin kexin type 9,46,"['39716214', '39128417', '38972879', '38889644', '37904138', '37593857', '37515197', '37365661', '36921646', '36823620', '36119052', '35930089', '35924517', '33333472', '33123601', '32869163', '32769621', '32686253', '31776890', '31660669', '31651422', '31509211', '31431286', '31332258', '31303312', '31166632', '30914377', '30768512', '30726226', '30660782', '30473376', '30394916', '30002483', '29763894', '29510719', '28196290', '28063230', '27967260', '27552305', '27405064', '27043086', '26756586', '26252194', '25435211', '25320235', '25320231']",PCSK9,PCSK9,255738,proprotein convertase subtilisin/kexin type 9
SYK,spleen associated tyrosine kinase,21,"['39559354', '39340994', '39084187', '38945448', '38739341', '38320352', '38229397', '33827131', '33679687', '32927460', '30599182', '30347478', '29459869', '27926862', '27763263', '27428901', '27261276', '26987407', '25474208', '22427642', '15895090']",SYK,SYK,6850,spleen associated tyrosine kinase
ABCD1,atp binding cassette subfamily d member 1,0,[],ABCD1,ABCD1,215,ATP binding cassette subfamily D member 1
SMPD3,sphingomyelin phosphodiesterase 3,0,[],SMPD3,SMPD3,55512,sphingomyelin phosphodiesterase 3
HSP90AB1,heat shock protein 90 alpha family class b member 1,1,['29254296'],HSP90AB1,HSP90AB1,3326,heat shock protein 90 alpha family class B member 1
HLA-DPA1,major histocompatibility complex class ii dp alpha 1,3,"['40325173', '35272172', '33939725']",HLA-DPA1,HLA-DPA1,3113,"major histocompatibility complex, class II, DP alpha 1"
FOCAD,focadhesin,0,[],FOCAD,FOCAD,54914,focadhesin
NDUFS4,nadh ubiquinone oxidoreductase subunit s4,1,['28714002'],NDUFS4,NDUFS4,4724,NADH:ubiquinone oxidoreductase subunit S4
HSPA1A,hsp70 heat shock proteins,0,[],HSPA1A,HSPA1A,3303,heat shock protein family A (Hsp70) member 1A
GZMA,granzyme a,19,"['40350654', '39654893', '37591921', '36199375', '34815792', '33866542', '33664861', '32655547', '28694562', '26871709', '25017060', '22089193', '20585036', '20362398', '15993363', '12780694', '12598769', '10882599', '10619826']",GZMA,GZMA,3001,granzyme A
GABRG3,gamma aminobutyric acid,0,[],GABRG3,GABRG3,2567,gamma-aminobutyric acid type A receptor subunit gamma3
MIR16-2,microrna 16 2,0,[],MIR16-2,MIR16-2,406951,microRNA 16-2
CD83,cd83 molecule,12,"['39848419', '38819378', '38753245', '31035565', '30086151', '27599933', '26430882', '23787022', '23039892', '20687203', '16841299', '15767412']",CD83,CD83,9308,CD83 molecule
NDUFS2,nadh ubiquinone oxidoreductase core subunit s2,0,[],NDUFS2,NDUFS2,4720,NADH:ubiquinone oxidoreductase core subunit S2
MYC,myc proto oncogene bhlh transcription factor,25,"['40551206', '39637364', '39557695', '39536486', '38440848', '38197509', '37671148', '37552767', '36564641', '35668098', '33915488', '33209018', '32280132', '32029027', '31566109', '31424269', '31415393', '31323531', '29512785', '29254296', '29038465', '26811453', '26491700', '17664160', '2846887']",MYC,MYC,4609,"MYC proto-oncogene, bHLH transcription factor"
NDUFB11,nadh ubiquinone oxidoreductase subunit b11,0,[],NDUFB11,NDUFB11,54539,NADH:ubiquinone oxidoreductase subunit B11
NDUFB6,nadh ubiquinone oxidoreductase subunit b6,0,[],NDUFB6,NDUFB6,4712,NADH:ubiquinone oxidoreductase subunit B6
BAG3,bag cochaperone 3,2,"['38212812', '27736938']",BAG3,BAG3,9531,BAG cochaperone 3
RSAD2,radical s adenosyl methionine domain containing 2,1,['31252045'],RSAD2,RSAD2,91543,radical S-adenosyl methionine domain containing 2
MIR133A2,microrna s,0,[],MIR133A2,MIR133A2,406923,microRNA 133a-2
PIK3CD,phosphatidylinositol 4 5 bisphosphate 3 kinase catalytic subunit delta,3,"['39354431', '29599765', '24165795']",PIK3CD,PIK3CD,5293,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
MIR199A2,,0,[],MIR199A2,MIR199A2,406977,microRNA 199a-2
DEFA3,defensin alpha 3,4,"['35935811', '35032827', '30718392', '20502117']",DEFA3,DEFA3,1668,defensin alpha 3
GZMB,granzyme b,61,"['40411297', '40350654', '40254928', '39793226', '39669564', '39654893', '39252215', '38302880', '38057716', '36618365', '36514222', '36190241', '35898496', '35427887', '35320704', '33868226', '33866542', '33863396', '33329524', '32941433', '32655547', '31525636', '31440240', '31385383', '30744575', '30563486', '30232277', '30028417', '29624673', '29507105', '29438386', '28694562', '28679535', '27815422', '27671246', '27648693', '26871709', '25559266', '25017060', '22844498', '22089193', '21807908', '21441446', '21399496', '21039472', '20702730', '20616341', '20585036', '20121402', '20101613', '20053943', '19692459', '19136373', '18606696', '18212072', '17909456', '17044836', '16500656', '15993363', '10619826', '7730658']",GZMB,GZMB,3002,granzyme B
CLEC5A,c type lectin domain containing 5a,6,"['40498836', '37359526', '37235492', '36817458', '35045818', '33692779']",CLEC5A,CLEC5A,23601,C-type lectin domain containing 5A
DOCK8,dedicator of cytokinesis 8,4,"['37647440', '36254543', '27798618', '24667686']",DOCK8,DOCK8,81704,dedicator of cytokinesis 8
IRF1,interferon regulatory factor 1,31,"['40471388', '40139977', '39716581', '39360626', '38106412', '37392571', '36462334', '36314827', '34508735', '32973784', '31301576', '28849179', '28658674', '26460801', '24551153', '23489802', '22266972', '22105605', '22020240', '20799070', '20621590', '19399741', '18481258', '16223733', '12759457', '12090463', '11880315', '11781814', '11348014', '11034406', '10859338']",IRF1,IRF1,3659,interferon regulatory factor 1
MIR495,microrna 495,3,"['39641834', '36899862', '31771650']",MIR495,MIR495,574453,microRNA 495
NDUFS7,nadh ubiquinone oxidoreductase core subunit s7,0,[],NDUFS7,NDUFS7,374291,NADH:ubiquinone oxidoreductase core subunit S7
TNFSF14,tnf superfamily member 14,2,"['36806964', '36209073']",TNFSF14,TNFSF14,8740,TNF superfamily member 14
NDUFA1,electron transport complex i,1,['40240625'],NDUFA1,NDUFA1,4694,NADH:ubiquinone oxidoreductase subunit A1
CAV1,caveolin 1,33,"['39059206', '38688780', '38320736', '37851947', '36631446', '35911737', '35598715', '34215697', '34050090', '33749103', '31692534', '31671563', '31534550', '28957875', '28593998', '28526985', '28000867', '26049202', '25989423', '25243430', '24929240', '24441873', '24356882', '24244013', '23836408', '23727353', '22201607', '21670588', '20534584', '17380794', '17317261', '16982927', '16360093']",CAV1,CAV1,857,caveolin 1
F8,coagulation factor viii,6,"['39019927', '36937479', '35264539', '27937124', '23611769', '21909423']",F8,F8,2157,coagulation factor VIII
IL6R,interleukin 6 receptor,35,"['38217091', '38165930', '37732482', '37525933', '37058750', '36716318', '36117167', '35059921', '33505213', '33182754', '31086276', '30852105', '29674256', '29455109', '27982031', '29441967', '27607600', '26767500', '26431949', '25888255', '24013483', '22489868', '21336117', '21148800', '16096463', '14518281', '12189115', '10893340', '10720531', '10465257', '9553985', '9528718', '9083231', '7622919', '7549302']",IL6R,IL6R,3570,interleukin 6 receptor
MT-ND6,nadh dehydrogenase subunit 6,1,['39611143'],MT-ND6,MT-ND6,4541,NADH dehydrogenase subunit 6
MAPK3,mitogen activated protein kinase 3,7,"['40315317', '40220405', '39755185', '39283066', '38944364', '38824977', '37824375']",MAPK3,MAPK3,5595,mitogen-activated protein kinase 3
GALT,galactose 1 phosphate uridylyltransferase,18,"['33264268', '30835680', '25464855', '21345945', '21321007', '20978943', '20126442', '18260759', '17574643', '16787288', '16514295', '16317385', '15995593', '14498980', '12890623', '12764986', '11895149', '11176263']",GALT,GALT,2592,galactose-1-phosphate uridylyltransferase
PDE5A,phosphodiesterase 5a,0,[],PDE5A,PDE5A,8654,phosphodiesterase 5A
GRIN2A,glutamate ionotropic receptor nmda type subunit 2a,0,[],GRIN2A,GRIN2A,2903,glutamate ionotropic receptor NMDA type subunit 2A
CMPK2,cytidine uridine monophosphate kinase 2,2,"['37859535', '28393889']",CMPK2,CMPK2,129607,cytidine/uridine monophosphate kinase 2
DUSP2,dual specificity phosphatase 2,1,['17636038'],DUSP2,DUSP2,1844,dual specificity phosphatase 2
PLAUR,plasminogen activator urokinase receptor,0,[],PLAUR,PLAUR,5329,"plasminogen activator, urokinase receptor"
OASL,2 5 oligoadenylate synthetase like,5,"['27214236', '23874199', '21722999', '16113446', '12169584']",OASL,OASL,8638,2'-5'-oligoadenylate synthetase like
PTPN22,protein tyrosine phosphatase non receptor type 22,0,[],PTPN22,PTPN22,26191,protein tyrosine phosphatase non-receptor type 22
LY86,lymphocyte antigen 86,1,['32251450'],LY86,LY86,9450,lymphocyte antigen 86
CD244,cd244 molecule,6,"['35812458', '32631901', '32148245', '30279688', '28768726', '25557485']",CD244,CD244,51744,CD244 molecule
PTPN11,protein tyrosine phosphatase non receptor type 11,2,"['38824977', '35981417']",PTPN11,PTPN11,5781,protein tyrosine phosphatase non-receptor type 11
ADRA2C,receptors adrenergic,2,"['29733849', '19430535']",ADRA2C,ADRA2C,152,adrenoceptor alpha 2C
SELPLG,selectin p ligand,0,[],SELPLG,SELPLG,6404,selectin P ligand
SPINK5,serine peptidase inhibitor kazal type 5,1,['31653452'],SPINK5,SPINK5,11005,serine peptidase inhibitor Kazal type 5
NDUFB1,electron transport complex i,0,[],NDUFB1,NDUFB1,4707,NADH:ubiquinone oxidoreductase subunit B1
TOLLIP,toll interacting protein,10,"['35237256', '32421349', '31241993', '28954388', '28736863', '27703259', '27002100', '25269519', '21219635', '16850005']",TOLLIP,TOLLIP,54472,toll interacting protein
CLEC4D,c type lectin domain family 4 member d,2,"['34296682', '32151258']",CLEC4D,CLEC4D,338339,C-type lectin domain family 4 member D
ATG5,autophagy related 5,16,"['38916095', '38784395', '34808102', '34620235', '34051206', '33637691', '33390769', '32018068', '31333648', '30676840', '30478251', '29076973', '28839236', '27508931', '26660048', '23434181']",ATG5,ATG5,9474,autophagy related 5
HLA-DMA,histocompatibility antigens class ii,5,"['40325173', '34484417', '28356347', '24321376', '15644645']",HLA-DMA,HLA-DMA,3108,"major histocompatibility complex, class II, DM alpha"
MCEMP1,mast cell expressed membrane protein 1,9,"['40140612', '39348809', '39029061', '37359526', '35345523', '35272594', '34296682', '31893303', '30883005']",MCEMP1,MCEMP1,199675,mast cell expressed membrane protein 1
NDUFS8,nad,0,[],NDUFS8,NDUFS8,4728,NADH:ubiquinone oxidoreductase core subunit S8
BCL2L1,bcl2 like 1,4,"['40362669', '39839500', '36443881', '30146810']",BCL2L1,BCL2L1,598,BCL2 like 1
C1QBP,complement c1q binding protein,1,['28549777'],C1QBP,C1QBP,708,complement C1q binding protein
MEFV,mefv protein human,3,"['37051243', '33037005', '24919612']",MEFV,MEFV,4210,"MEFV innate immunity regulator, pyrin"
SELL,selectin l,7,"['40221459', '33649330', '31009807', '24602331', '23871455', '21757502', '14526815']",SELL,SELL,6402,selectin L
CCR2,c c motif chemokine receptor 2,49,"['40459245', '39956402', '39733044', '39452729', '38684922', '38178134', '37901245', '35276271', '35225315', '34965966', '34432833', '34015275', '33424860', '33020963', '32433207', '32425929', '31823178', '31619539', '31552201', '31472096', '31100442', '30193587', '29980671', '29749709', '29668526', '27862204', '27082997', '26862765', '26727083', '26430882', '26160897', '24867165', '24069320', '23831508', '23247123', '22201685', '22089201', '21242593', '21106855', '20732989', '20660608', '19837977', '19733456', '18662820', '18056397', '16426015', '15579460', '15546082', '15517610']",CCR2,CCR2,729230,C-C motif chemokine receptor 2
CALCRL,calcitonin receptor like receptor,5,"['23745695', '17889965', '11997081', '11754970', '10777702']",CALCRL,CALCRL,10203,calcitonin receptor like receptor
